company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at
analog-devices,2028,November,USD,7387,Million,11795,7778,Million,2584,Million,484565,15.39,published diluted share count,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/,2026-09-03
kioxia,2024,March,JPY,-243700,Million,,,Million,,Million,,,published diluted share count,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/,2026-09-03
kioxia,2025,March,JPY,272315,Million,764055,303405,Million,789068,Million,539063,520,published diluted share count,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/,2026-09-03
kioxia,2026,March,JPY,554490,Million,1183195,395028,Million,576861,Million,545662,1024,published diluted share count,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/,2026-09-03
kioxia,2027,March,JPY,5617670,Million,8339690,4373011,Million,-2616987,Million,548015,10431,published diluted share count,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/,2026-09-03
kioxia,2028,March,JPY,7574615,Million,11072415,7220330,Million,-7382409,Million,548015,14294,published diluted share count,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/,2026-09-03
kioxia,2029,March,JPY,8328912,Million,12312517,8432468,Million,-13159080,Million,548015,16427,published diluted share count,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/,2026-09-03
tokyo-electron,2024,March,JPY,363963,Million,508602,309572,Million,-472548,Million,462905,783.8,published diluted share count,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/,2026-09-03
tokyo-electron,2025,March,JPY,544133,Million,759467,412565,Million,-496238,Million,458065,1182,published diluted share count,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/,2026-09-03
tokyo-electron,2026,March,JPY,574454,Million,705918,443240,Million,-506250,Million,454784,1255,published diluted share count,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/,2026-09-03
tokyo-electron,2027,March,JPY,773005,Million,1097924,296225,Million,-376793,Million,454651,1700,published diluted share count,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/,2026-09-03
tokyo-electron,2028,March,JPY,1034964,Million,1438156,697865,Million,-349156,Million,454651,2324,published diluted share count,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/,2026-09-03
tokyo-electron,2029,March,JPY,1278453,Million,1730943,1013575,Million,-543411,Million,454651,2827,published diluted share count,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/,2026-09-03
advantest,2024,March,JPY,62290,Million,107732,4728,Million,-12259,Million,738176,84.45,published diluted share count,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/,2026-09-03
advantest,2025,March,JPY,161177,Million,255236,268557,Million,-169041,Million,733644,218.7,published diluted share count,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/,2026-09-03
advantest,2026,March,JPY,375353,Million,524732,299152,Million,-319774,Million,725790,515.2,published diluted share count,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/,2026-09-03
advantest,2027,March,JPY,664289,Million,893659,483640,Million,-549281,Million,723966,916.6,published diluted share count,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/,2026-09-03
advantest,2028,March,JPY,823760,Million,1103036,712911,Million,-831053,Million,723966,1140,published diluted share count,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/,2026-09-03
advantest,2029,March,JPY,928344,Million,1235091,958537,Million,-1252378,Million,723966,1288,published diluted share count,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/,2026-09-03
sony,2024,March,JPY,970573,Million,2353812,749267,Million,1783167,Million,6133099,157.7,published diluted share count,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/,2026-09-03
sony,2025,March,JPY,1141600,Million,2075600,1674148,Million,1217290,Million,6029075,188.7,published diluted share count,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/,2026-09-03
sony,2026,March,JPY,-326865,Million,2628162,1487936,Million,-539210,Million,5906960,-54.7,published diluted share count,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/,2026-09-03
sony,2027,March,JPY,1269312,Million,2643535,1029448,Million,-1729772,Million,5872462,217,published diluted share count,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/,2026-09-03
sony,2028,March,JPY,1339454,Million,2625024,1181304,Million,-2601397,Million,5872462,230.5,published diluted share count,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/,2026-09-03
sony,2029,March,JPY,1399862,Million,2656474,1183425,Million,-3451887,Million,5872462,241.6,published diluted share count,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/,2026-09-03
